NombreES,NombreEN,Precio,DescripcionMenuES,DescripcionMenuEN,TipoES,TipoEN,SubTipoES,SubTipoEN,DietaES,DietaEN,CuidadoES,CuidadoEN,Estado,Foto,Receta,_id,GRUPO,PRINT,SUB_GRUPO,Order,Comp_Lunch
Guandolo clásico,Classic guandolo,7000,"Bebida tradicional a base de panela, limón y naranja","Traditional drink made with panela, lemon and orange",Bebidas,Drinks,Frío,Cold,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=13OeOQgBuN7ZhTZBouOcwTB8IUp4o4M6h&sz=w1000-h1000,1309580c-bce2-434a-8e90-57bc2762c4ff,a25a7ed6-5fde-4c0d-907f-e9f777660f8b,BEBIDAS,true,BEBIDAS_FRIAS,,
Brownie de chocolate,Chocolate brownie,12000,Delicioso brownie servido con ganash de chocolate y un toque de canela,Delicious brownie served with chocolate ganache and a touch of cinnamon,Postres,Deserts,Dulce,Sweet,Vegetarino,Vegeterian,NA,NA,Activo,https://drive.google.com/thumbnail?id=12ZMCbpxIWruyIHbvaA0uVB_KTH8cLPLM&sz=w1000-h1000,,a56546f5-004d-4820-bfc5-7a9846c0777d,REPOSTERIA,,,,
Adición de Caramelo,Add Caramel,4000,,,,,,,,,,,Activo,,,a7440f37-3258-4aa8-81ff-f6b6479f2548,ADICIONES,true,ADICIONES_BEBIDAS,,
Café Opera,Opera Cafe,16000,,,,,,,,,,,Inactivo,,3a6c6a24-7ef5-4466-84d3-af8ead28c582,a8973ba1-aac2-4f78-b6ba-2814c35551c0,CAFE,,,,
Limonada,Lemonade,7000,"Bebida a base de limón, agua y azúcar  Sabores natural, mango y fresa","Beverage made with lemon, water, and sugar Flavors include natural, mango, and strawberry",Bebidas,Drinks,Frío,Cold,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=1456sNWJXWZioBRBAIf5TQL1QQQQw25GV&sz=w1000-h1000,c0d53cb9-07e5-4dac-8d31-88742943f357,aba114e8-4ad4-4f70-8e12-6907bb9568a5,BEBIDAS,true,BEBIDAS_FRIAS,,
Cañón con Manzana y Caramelo,,22000,,,,,,,,,,,Activo,,,ac83c4f0-ee60-4886-990a-308317281ad1,TARDEO,false,TARDEO_ALMUERZO,,"{
  ""fecha"": {
    ""dia"": ""miércoles"",
    ""fecha"": ""2025-09-03""
  },
  ""entrada"": {
    ""nombre"": ""Crema de cebolla"",
    ""descripcion"": ""Clásica y deliciosa crema de cebolla.""
  },
  ""proteina"": {
    ""nombre"": ""Cañón con Manzana y Caramelo"",
    ""descripcion"": ""Lomo de cerdo en una exquisita salsa agridulce de manzana y caramelo.""
  },
  ""carbohidrato"": {
    ""nombre"": ""Arroz con cilantro"",
    ""descripcion"": ""Arroz aromatizado con cilantro fresco.""
  },
  ""acompanante"": {
    ""nombre"": ""Tortilla de Zanahoria."",
    ""descripcion"": ""tortilla de zanahoria con queso costeño.""
  },
  ""ensalada"": {
    ""nombre"": ""Ensalada de Mango con Quinua"",
    ""descripcion"": ""Una ensalada tropical y nutritiva con trozos de mango y quinua.""
  },
  ""bebida"": {
    ""nombre"": ""Jugo de Maracuyá"",
    ""descripcion"": "" Refrescante Jugo de maracuyá.""
  }
}"
Infusiones,Infusions,6000,"Frutos verdes deshidratados, frutos rojos macerados y  frutos tropicales deshidratados","Dried green fruits, macerated red berries, and dried tropical fruits",Bebidas,Drinks,Caliente,Hot,NA,NA,NA,NA,Activo,,7cc069a9-1eb9-4328-aca1-9e94dad52d3e,acb03a26-f7bf-41ac-8632-17f302dbe4f7,BEBIDAS,true,BEBIDAS_CALIENTES,,
Pollo a la Miel Mostaza,,22000,,,,,,,,,,,Activo,,,af206155-66ba-4c1b-95ad-0e3bf592b55a,TARDEO,false,TARDEO_ALMUERZO,,"{
  ""fecha"": {
    ""dia"": ""jueves"",
    ""fecha"": ""2025-09-04""
  },
  ""entrada"": {
    ""nombre"": ""Sopa de Lentejas"",
    ""descripcion"": ""Nutritiva y clásica sopa de lentejas, llena de sabor casero.""
  },
  ""proteina"": {
    ""nombre"": ""Pollo a la Miel Mostaza"",
    ""descripcion"": ""Jugosa pechuga de pollo en una salsa agridulce y equilibrada de miel y mostaza.""
  },
  ""carbohidrato"": {
    ""nombre"": ""Arroz con Zanahoria"",
    ""descripcion"": ""Arroz blanco suelto con un toque de color y dulzor de la zanahoria.""
  },
  ""acompanante"": {
    ""nombre"": ""Papa Rellena de Pollo"",
    ""descripcion"": ""Deliciosa papa rellena con pollo, un clásico que no falla.""
  },
  ""ensalada"": {
    ""nombre"": ""Ensalada con Aguacate"",
    ""descripcion"": ""Una ensalada fresca y cremosa con trozos de aguacate.""
  },
  ""bebida"": {
    ""nombre"": ""Agua Fresca de Jamaica y Naranja"",
    ""descripcion"": ""Bebida refrescante y natural con la combinación de flor de jamaica y naranja.""
  }
}"
Espresso escarchado,Frosted espresso,6000,Espresso sencillo más hielo de espresso,Single espressi plus espresso ice cubes,Café,Coffee,Frío,Cold,NA,NA,NA,NA,Inactivo,,05984570-9579-4a77-b031-8afceb180a1a,aff12c03-7c60-47dd-a9e4-65d125d79bc2,CAFE,,,,
Tostadas parmesano,Parmesan toasts,20000,"Base de pan de masa madre, mix de rúgula, queso parmesano, reducción de balsámico, nueces y queso crema","Sourdough base bread, arugula mix, parmesan cheese, balsamic reduction, walnuts and cream cheese",Sanduches,Sandwitch,Salado,Salty,Vegano,Vegano,Nueces,Nueces,Inactivo,https://drive.google.com/thumbnail?id=15Wg5Ao-ogsoaTnnWXdlCH1pJr_FvYu92&sz=w1000-h1000,,b102368c-2058-490d-8c24-51f3f74b6188,TARDEO,,,,
RES_POSTA CARTAGENERA,,22000,,,,,,,,,,,Activo,,,b196e803-603f-4bfa-b36d-b4c4927f481c,TARDEO,false,TARDEO_ALMUERZO,,"{
  ""fecha"": {
    ""dia"": ""miércoles"",
    ""fecha"": ""2025-08-20""
  },
  ""entrada"": {
    ""nombre"": ""Crema Zanahoria"",
    ""descripcion"": ""Cremosa, con puerro crocante. ""
  },
  ""proteina"": {
    ""nombre"": ""Posta cartagenera"",
    ""descripcion"": ""en salsa de panela y especias.""
  },
  ""carbohidrato"": {
    ""nombre"": ""Arroz blanco"",
    ""descripcion"": """"
  },
  ""acompanante"": {
    ""nombre"": ""Patacón "",
    ""descripcion"": ""Con Hogao y Guacamole.""
  },
  ""ensalada"": {
    ""nombre"": ""Ensalada"",
    ""descripcion"": ""Lechuga, Tomate y Cebolla""
  },
  ""bebida"": {
    ""nombre"": ""Jugo"",
    ""descripcion"": ""Refrescante jugo de fruta natural del día.""
  },
  ""proteina_opcion_2"": {
    ""nombre"": ""Pollo a la Plancha"",
    ""descripcion"": ""Pechuga""
  },
  ""lista"": [
    {
      ""order"": 1,
      ""nombre"": ""Sergio peru"",
      ""option"": ""2"",
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 2,
      ""nombre"": ""Sergio peru"",
      ""option"": ""2"",
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 3,
      ""nombre"": ""Lucia"",
      ""option"": ""2"",
      ""pagado"": true,
      ""donde"": ""llevar"",
      ""notas"": """"
    },
    {
      ""order"": 4,
      ""nombre"": ""Aurelio"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 5,
      ""nombre"": ""Andres"",
      ""option"": ""2"",
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 6,
      ""nombre"": ""Pareja"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 7,
      ""nombre"": ""pareja"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 8,
      ""nombre"": ""tatiana"",
      ""option"": ""2"",
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 9,
      ""nombre"": ""pareja 2"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 10,
      ""nombre"": ""pareja 2"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 11,
      ""nombre"": ""juliana"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 12,
      ""nombre"": ""cura"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""llevar"",
      ""notas"": """"
    },
    {
      ""order"": 13,
      ""nombre"": ""porteria"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""llevar"",
      ""notas"": """"
    }
  ]
}"
Malteada de café,Coffee milkshake,19000,Bebida a base de helado de vainilla y café,Coffee and vanilla ice cream beverage,Café,Coffee,Frío,Cold,NA,NA,NA,NA,Inactivo,https://drive.google.com/thumbnail?id=140XCuz_FedXqGOOgqxeTfTs4FlXrZQ-b&sz=w1000-h1000,1e81978a-d926-4621-a564-fc542ea8f896,b283afb8-82a5-4c8d-9d58-9c634cfd1b7a,CAFE,true,,,
Pan de masa madre,Slice sourdough,2500,,,Adición,Sides,,,,,,,Activo,,b67e5df7-e6ca-43cf-a9d1-190a694fd613,c638568b-ab88-4b7d-ae04-461649f03519,ADICIONES,true,ADICIONES_COMIDAS,,
Moca-chino,Moca-chino,9000,"Doble espresso con cocoa, chocolate y leche espumada","Double espresso with cocoa, chocolate, and frothed milk",Café,Coffee,Caliente,Hot,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=13yPlTyfxbM6neFVsf90ETCIAYG1u85eM&sz=w1000-h1000,b6d2d8f0-79e5-4158-b3a4-ffbf3a486b90,c6aad56a-f421-4fa9-a789-a394bff64282,CAFE,true,CAFE_ESPRESSO,5,
Huevos shakshukas,Shakshuka eggs,20000,Huevos fritos en salsa shakshuka  (aderezo  a base de pimentón y tomate) queso y pan de masa madre tostado,Fried eggs in shakshuka sauce (dressing based on paprika and tomato) cheese and toasted sourdough bread,Desayuno,Breackfast,Salado,Salty,Vegetarino,Vegeterian,NA,NA,Activo,https://drive.google.com/thumbnail?id=13ly72tvOsDiZXoXYFkVtGtjg4loZWdpT&sz=w1000-h1000,df879ac8-8d81-4381-8194-438d3b20062b,cb4cba82-764f-4b71-8d19-33fd93453ec2,DESAYUNO,true,DESAYUNO_SALADO,,
Madre Monte,Madre Monte,16000,,,,,,,,,,,Activo,,644c2747-4853-4bd2-92d1-7901800bfd50,cfdf9080-b0a1-443b-a77a-e11c254aca1a,ENLATADOS,true,,,
Capuchino,Capuchino,7500,Doble espresso con leche espumada,Double espresso with frothed milk,Café,Coffee,Caliente,Hot,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=12sUJr9DxvjwIfEhwWSjAjyfdjrTEmh9-&sz=w1000-h1000,60f5928f-6218-459e-a024-ef2ae4ca4e1e,d22d532e-df54-4401-908e-117c96b70e38,CAFE,true,CAFE_ESPRESSO,3,
Guandolo jengibre,Ginger guandolo,7000,"Bebida tradicional a base de panela y limón, con un toque de jengibre","Traditional beverage made with panela and lemon, with a hint of ginger",Bebidas,Drinks,Frío,Cold,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=13bWSkystLXwKHS5f9SWsa1zl8O0Ot2HV&sz=w1000-h1000,e93c1a5e-d771-4d1b-b48c-38df99aebb2f,d2873d9f-d193-49bb-b641-43ce98027d4f,BEBIDAS,,,,
Jugos de frutas,Fruit juices,6000,"Jugos recién exprimidos de naranja, mora, lulo, maracuyá, mango y fresa","Freshly squeezed juices of orange, blackberry, lulo, passion fruit, mango, and strawberry",Bebidas,Drinks,Frío,Cold,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=13kQAHaLQK4bBfAJho4SjnXhXn1lJ0FWf&sz=w1000-h1000,8d9aad32-242c-4809-854d-fb92d4e2d939,d4d5ff7d-9f00-4199-b9b7-cab08bc3d6d4,BEBIDAS,true,BEBIDAS_FRIAS,,
Soda frutos rojos,Red berry soda,7000,"Soda con macerado cacero de arándanos, fresas y moras","Soda with homemade jam of blueberries, strawberries, and blackberries",Bebidas,Drinks,Frío,Cold,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=14RhblcK4pH4xrL741hQgMWj0nOrfx2ei&sz=w1000-h1000,d12f9886-5f4f-4da8-ba4c-675c1dc41192,d52dd990-3498-43e6-bf8e-3fbce01d65df,BEBIDAS,true,,,
Aeropress,Aeropress,7000,"Taza ligera, cuerpo complejo, acidez y dulzor balanceados","Light cup, complex body, balanced acidity and sweetness",Café,Coffee,Caliente,Hot,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=16feLXEMiSc__A4qX6_-LsWMCnELyjWn7&sz=w1000-h1000,d116d943-ec72-4561-a6cf-d79fbd918832,d602b111-812d-4fdc-9fca-ee163aed8e61,CAFE,true,CAFE_METODOS,,
Macchiato,Macchiato,8000,Doble espresso con una pequeña cantidad de leche espumosa encima,A double espresso with a small amount of frothed milk on top,Café,Coffee,Caliente,Hot,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=1445xVw3VTpOui1kFTDv5NP0x9Dx0j82w&sz=w1000-h1000,bf901d28-d594-489a-ba80-6e5aee7ce5dd,d72823c1-0a36-4491-bbd9-240191d8fb25,CAFE,true,CAFE_ESPRESSO,,
Tostadas de aguacate y huevo,Avocado toast and egg,22000,"Base masa madre, Aguacate cremoso, cebolla encurtida y huevo frito","Sourdough base, Creamy Avocado, Pickled Onion, and Fried Egg",Sanduches,Sandwitch,Salado,Salty,Vegetarino,Vegeterian,NA,NA,Activo,https://drive.google.com/thumbnail?id=14vwqTnm3e9iRQ-FiZ9kTk7R_0UNWsikZ&sz=w1000-h1000,22cae1e2-39bd-4121-a9c5-453057d06b92,d9f463dd-585b-487a-831c-5a5ae5b8a159,TARDEO,true,,,
Almuerzo,Lunch,22000,Inicia a las 12:30 - Cambia todos los días.,Starts at 12:30 - Changes every day,,,,,,,,,Activo,,,daf9f710-9715-4b93-b23e-d5196097ed3d,TARDEO,true,TARDEO_ALMUERZO,,
Té negro arándanos & miel,"Black tea, blueberries & honey",6000,Té negro en agua con infusión de arándanos y miel,Black tea steeped in blueberry-infused water with honey,Bebidas,Drinks,Caliente,Hot,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=15F5g3mxrrlCx2a9bdYk5y7sU9yR9Y9mD&sz=w1000-h1000,23180fc2-c339-405d-9bcd-6180e50d7142,dbc87b6e-cbd9-4b0b-af8b-d85aed8716dd,BEBIDAS,,,,
Test,Test,,,,,,,,,,,,Inactivo,,,dcd00e54-766b-4bc1-8512-a1d0dbe45e69,TARDEO,false,,,
Caro-chino,Caro-chino,9000,Espresso sencillo con caramelo y leche espumada,Single espresso with caramel and frothed milk,Café,Coffee,Caliente,Hot,NA,NA,NA,NA,Activo,,496dba66-0625-4449-aa61-c3cfe67d0b87,dd0411ca-a74d-4d8f-acfd-e1f80196beed,CAFE,,,,
"RES_PASTA BOLOGNESA ",,22000,,,,,,,,,,,Activo,,,df33bbe7-26c7-432e-aeab-6baf1fb8da4c,TARDEO,false,TARDEO_ALMUERZO,,"{
  ""fecha"": {
    ""dia"": ""viernes"",
    ""fecha"": ""2025-08-22""
  },
  ""entrada"": {
    ""nombre"": ""Caldo de Costilla "",
    ""descripcion"": """"
  },
  ""proteina"": {
    ""nombre"": ""Boloñesa"",
    ""descripcion"": ""En salsa de tomate.""
  },
  ""proteina_opcion_2"": {
    ""nombre"": ""Pollo a la Plancha"",
    ""descripcion"": ""Pechuga""
  },
  ""carbohidrato"": {
    ""nombre"": ""Pasta Fetuccini"",
    ""descripcion"": """"
  },
  ""acompanante"": {
    ""nombre"": ""Pan de masa madre con queso"",
    ""descripcion"": """"
  },
  ""ensalada"": {
    ""nombre"": ""Vegetales salteados con balsámico"",
    ""descripcion"": """"
  },
  ""bebida"": {
    ""nombre"": ""De frutas."",
    ""descripcion"": """"
  },
  ""lista"": [
    {
      ""order"": 1,
      ""nombre"": ""Liliana"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 2,
      ""nombre"": ""Andres"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 3,
      ""nombre"": ""Perrito 1"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 4,
      ""nombre"": ""Perrito 2"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 5,
      ""nombre"": ""Aurelio 1"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 6,
      ""nombre"": ""Aurelio 2"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 7,
      ""nombre"": ""Rocio 1"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 8,
      ""nombre"": ""Rocio 2"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 9,
      ""nombre"": ""Omaira"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 10,
      ""nombre"": ""Lucia"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 11,
      ""nombre"": ""Luces"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 12,
      ""nombre"": ""Moderatto 1"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 13,
      ""nombre"": ""Moderattto 2"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 14,
      ""nombre"": ""Tatiana"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    }
  ]
}"
Adición de arroz,Add Rice,5000,,,,,,,,,,,,,,dfbeda8b-6e3d-4014-8f08-399cae9f31b4,ADICIONES,true,,,
Cena 05072025,,0,,,,,,,,,,,Inactivo,,,e2dfb242-8e65-481b-9736-d175fadab450,TARDEO,false,,,
Tortilla española,Spanish tortilla,18000,"Confitura de papa nativa y cebolla, con chimichurri y chorizo español","Confiture of native potato and onion, with chimichurri and Spanish chorizo",Desayuno,Breackfast,Salado,Salty,Carnico,Meat,NA,NA,Inactivo,https://drive.google.com/thumbnail?id=14wrftOkQ17XZqtSGnbWkZmlpFsTaPkuj&sz=w1000-h1000,2033bfcd-028f-4473-b630-0d642d98d483,e33021f4-579b-40ca-be83-273297acf620,TARDEO,,,,
POLLO_PECHUGA FLORENTINO,,22000,,,,,,,,,,,Activo,,,e36e8213-06b0-4eb7-956c-e4a51cd182a2,TARDEO,false,TARDEO_ALMUERZO,,"{
  ""fecha"": {
    ""dia"": ""jueves"",
    ""fecha"": ""2025-08-28""
  },
  ""entrada"": {
    ""nombre"": ""Crema de coliflor"",
    ""descripcion"": ""Suave y caramelizada, con chips crujientes.""
  },
  ""proteina"": {
    ""nombre"": ""Pollo florentino"",
    ""descripcion"": ""Con espinaca y parmesano.""
  },
  ""carbohidrato"": {
    ""nombre"": ""Arroz con zuccini "",
    ""descripcion"": ""Salteado y Fresco""
  },
  ""acompanante"": {
    ""nombre"": ""Berenjenas apanadas"",
    ""descripcion"": ""Crocantes""
  },
  ""ensalada"": {
    ""nombre"": ""Ensalada rusa"",
    ""descripcion"": ""Con papa, zanahoria y arveja. ""
  },
  ""bebida"": {
    ""nombre"": ""Jugo de frutas"",
    ""descripcion"": """"
  },
  ""lista"": [
    {
      ""order"": 1,
      ""nombre"": ""Omaira"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""llevar"",
      ""notas"": """"
    },
    {
      ""order"": 2,
      ""nombre"": ""Andres"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 3,
      ""nombre"": ""tatiana"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 4,
      ""nombre"": ""evyatar"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""llevar"",
      ""notas"": """"
    },
    {
      ""order"": 5,
      ""nombre"": ""Alejandra"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""llevar"",
      ""notas"": """"
    },
    {
      ""order"": 6,
      ""nombre"": ""pareja"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 7,
      ""nombre"": ""teresita"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""llevar"",
      ""notas"": """"
    },
    {
      ""order"": 8,
      ""nombre"": ""tersita"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 9,
      ""nombre"": ""rosado"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 10,
      ""nombre"": ""pareja adultos"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 11,
      ""nombre"": ""Pareja adultos"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 12,
      ""nombre"": ""susana"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 13,
      ""nombre"": ""susana"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 14,
      ""nombre"": ""susana "",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 15,
      ""nombre"": ""Liliam"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    }
  ]
}"
Torta chocolate & moras,Blackberry & Chocolate Cake,16000,"Esponjoso pastel de chocolate con relleno de moras, chuncks de chocolate y cobertura de chocolate","Fluffy devil´s chocolate cake with blackberry filling, chocolate chunks and chocolate frosting",Postres,Deserts,Dulce,Dulce,Vegetarino,Vegetarino,,,Activo,https://lh3.googleusercontent.com/d/1Az_n0fWrBcwbB2CAtjD0l0Gfp0Dyz6ke=w1000-h1000,b0fc742d-c32a-426c-8351-030b208cbe2f,e4765b62-7051-4ce3-a197-cfed67e18115,REPOSTERIA,true,PANADERIA_REPOSTERIA_DULCE,,
CERDO_CAZUELA DE FRIJOLES VERDES,,22000,,,,,,,,,,,Activo,,b6fdf631-7c18-468b-9751-778e02c00473,e53082de-23e8-4fd3-8e8d-0afb13c47c65,TARDEO,false,TARDEO_ALMUERZO,,"{
  ""fecha"": {
    ""dia"": ""sábado"",
    ""fecha"": ""2025-08-30""
  },
  ""entrada"": {
    ""nombre"": """",
    ""descripcion"": """"
  },
  ""proteina"": {
    ""nombre"": ""Tocino frito"",
    ""descripcion"": """"
  },
  ""carbohidrato"": {
    ""nombre"": ""Arroz Blanco"",
    ""descripcion"": """"
  },
  ""acompanante"": {
    ""nombre"": """",
    ""descripcion"": """"
  },
  ""ensalada"": {
    ""nombre"": """",
    ""descripcion"": """"
  },
  ""bebida"": {
    ""nombre"": """",
    ""descripcion"": """"
  },
  ""lista"": [
    {
      ""order"": 1,
      ""nombre"": ""Omaira"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": ""SIN ARROZ""
    },
    {
      ""order"": 2,
      ""nombre"": ""Rocio"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 3,
      ""nombre"": ""Federico"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 4,
      ""nombre"": ""Amix Perros"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 5,
      ""nombre"": ""Amix Perros"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 6,
      ""nombre"": ""Amix Bebidas"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 7,
      ""nombre"": ""Amix Bebidas"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 8,
      ""nombre"": ""Ana C PC"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 9,
      ""nombre"": ""Ana C PC"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 10,
      ""nombre"": ""Juan Gabriel"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    }
  ]
}"
Espresso doble,Double Espresso,0,,,,,,,,,,,Activo,,4aa37801-444d-46d4-916f-980cbef10778,e5458a1a-438e-4354-b374-17683512fff8,CAFE,,,,
Tarta Basca,Cheese Cake Basco,14000,Con mermelada de frutas de temporada.,With jam of seasonal fruits.,,,,,,,,,Activo,,57f54f7d-949c-4e7d-bdb0-e42633b115da,e75e5906-4eb0-4f0a-91d4-5e5688a6278c,REPOSTERIA,true,PANADERIA_REPOSTERIA_DULCE,,
"Pancakes huevo & tocino ",Eggs & bacon pancakes,22000,"Esponjosos pancakes rellenos de tocino, servidos con huevo revuelto, salsa de mantequilla y sirope .","Fluffy pancakes filled with bacon, served with scrambled egg, butter sauce and syrup.",Desayuno,Breackfast,Salado,Salty,Carnico,Meat,NA,NA,Activo,https://drive.google.com/thumbnail?id=14Dz-EuTtNG9_9ettdtBAYwc3Wh0syvCY&sz=w1000-h1000,cac69545-6096-4fb0-837e-84b27dd8acd8,e7b93687-81a8-4a83-bdaf-863b073b2082,DESAYUNO,true,DESAYUNO_SALADO,,
Café ópera,Opera coffee,12000,"Bebida con helado de vainilla, salsa de chocolate, vino de café y cobertura de crema chantilly","Vanilla ice cream beverage with chocolate sauce, coffee wine, and whipped cream topping",Café,Coffee,Frío,Cold,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=12Qbq6_qXGoWkPJpw8ZecFkFgVp0g3LED&sz=w1000-h1000,0763ba63-2a0f-47aa-b365-4425316cc052,ea4ee334-1e51-4939-9656-f1fb477e10e7,CAFE,,,,
Kombucha per té,Kombucha per té,12000,"Refrescante bebida fermentada, con contenido de probióticos","Refreshing fermented beverage, with probiotic content",Bebidas,Drinks,Frío,Cold,NA,NA,NA,NA,Activo,,dec87572-de1f-431c-a001-9fd6f5334d38,eca8f0f2-dfab-4702-a642-195df99ebb36,ENLATADOS,true,,,
